,Date,Open,High,Low,Close,Volume,index,Change,change_ratio,Open_R,High_R,Low_R,Vol_R,max_10_R,min_10_R,max_20_R,min_20_R,max_55_R,min_55_R,max_60_R,min_60_R,event,order,position,buy_type,buy_price,open_profit,close_profit,winnloss,cum_profit,day20_profit
0,2013-01-02,30660,31519,30540,31520,229274,20130102,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,
1,2013-01-03,31640,31680,30860,30860,284927,20130103,-660.0,-0.02094,0.003807107,0.0050761420000000005,-0.020939086000000003,0.24274,,,,,,,,,0,0,0,0,0,0,0,0,0,
2,2013-01-04,30800,30840,30199,30500,260120,20130104,-360.0,-0.01167,-0.001944264,-0.000648088,-0.021419313,-0.08706,,,,,,,,,0,0,0,0,0,0,0,0,0,
3,2013-01-07,30300,30560,29999,30400,252436,20130107,-100.0,-0.00328,-0.006557377,0.0019672129999999998,-0.01642623,-0.029539999999999997,,,,,,,,,0,0,0,0,0,0,0,0,0,
4,2013-01-08,30260,30340,29960,30000,276757,20130108,-400.0,-0.01316,-0.004605263,-0.001973684,-0.014473683999999999,0.09635,,,,,,,,,0,0,0,0,0,0,0,0,0,
5,2013-01-09,30000,30260,29820,30000,253720,20130109,0.0,0.0,0.0,0.008666667,-0.006,-0.08324,,,,,,,,,0,0,0,0,0,0,0,0,0,
6,2013-01-10,30300,30680,30000,30600,293482,20130110,600.0,0.02,0.01,0.022666667,0.0,0.15672,,,,,,,,,0,0,0,0,0,0,0,0,0,
7,2013-01-11,30960,30960,30140,30660,238982,20130111,60.0,0.00196,0.011764706000000002,0.011764706000000002,-0.01503268,-0.1857,,,,,,,,,0,0,0,0,0,0,0,0,0,
8,2013-01-14,30779,31040,30560,31040,160602,20130114,380.0,0.01239,0.003881279,0.012393999,-0.003261579,-0.32797,,,,,,,,,0,0,0,0,0,0,0,0,0,
9,2013-01-15,31200,31200,30239,30240,214769,20130115,-800.0,-0.025769999999999998,0.005154639,0.005154639,-0.025805412000000003,0.33726999999999996,-0.04061,0.008,,,,,,,0,0,0,0,0,0,0,0,0,
10,2013-01-16,30280,30519,29660,29840,325058,20130116,-400.0,-0.01323,0.001322751,0.00922619,-0.019179894,0.51352,-0.03866,0.0,,,,,,,0,0,0,0,0,0,0,0,0,
11,2013-01-17,30040,30040,29000,29380,404999,20130117,-460.0,-0.01542,0.006702413000000001,0.006702413000000001,-0.028150134,0.24593,-0.05347999999999999,0.0,,,,,,,0,0,0,0,0,0,0,0,0,
12,2013-01-18,29599,29739,29099,29600,250601,20130118,220.0,0.007490000000000001,0.00745405,0.012219197,-0.009564329,-0.38123,-0.04639,0.007490000000000001,,,,,,,0,0,0,0,0,0,0,0,0,
13,2013-01-21,29280,29500,28959,29080,290784,20130121,-520.0,-0.01757,-0.010810811000000002,-0.003378378,-0.021655405,0.16035,-0.06314,0.0,,,,,,,0,0,0,0,0,0,0,0,0,
14,2013-01-22,28900,29739,28900,29600,239166,20130122,520.0,0.01788,-0.006189821,0.022661623,-0.006189821,-0.17751,-0.04639,0.01788,,,,,,,0,0,0,0,0,0,0,0,0,
15,2013-01-23,30000,30040,29460,29460,186749,20130123,-140.0,-0.00473,0.013513513999999999,0.014864865,-0.00472973,-0.21916999999999998,-0.0509,0.013069999999999998,,,,,,,0,0,0,0,0,0,0,0,0,
16,2013-01-24,29360,29380,28820,29060,320146,20130124,-400.0,-0.013580000000000002,-0.003394433,-0.002715547,-0.021724372000000002,0.71431,-0.06379,0.0,,,,,,,0,0,0,0,0,0,0,0,0,
17,2013-01-25,29200,29220,28100,28340,436418,20130125,-720.0,-0.02478,0.004817619,0.00550585,-0.0330351,0.36318,-0.08698,0.0,,,,,,,0,0,0,0,0,0,0,0,0,
18,2013-01-28,27919,28019,27420,27440,618708,20130128,-900.0,-0.031760000000000004,-0.014855328000000001,-0.011326747,-0.03246295,0.4177,-0.09258999999999999,0.0,,,,,,,0,0,0,0,0,0,0,0,0,
19,2013-01-29,27800,28360,27600,28180,432719,20130129,740.0,0.026969999999999997,0.013119533999999999,0.033527697,0.0058309040000000005,-0.30061,-0.05563,0.026969999999999997,-0.10595999999999998,0.026969999999999997,,,,,0,0,0,0,0,0,0,0,0,0.0
20,2013-01-30,28519,28800,28240,28800,323848,20130130,620.0,0.022000000000000002,0.012029808000000001,0.022001418999999998,0.00212917,-0.2516,-0.027030000000000002,0.04956,-0.07216,0.04956,,,,,0,0,0,0,0,0,0,0,0,0.0
21,2013-01-31,28600,28959,28439,28960,321056,20130131,160.0,0.00556,-0.006944444,0.005520833,-0.012534722,-0.008620000000000001,-0.02162,0.055389999999999995,-0.06701,0.055389999999999995,,,,,0,0,0,0,0,0,0,0,0,0.0
22,2013-02-01,29200,29200,28440,28820,231524,20130201,-140.0,-0.00483,0.008287293000000001,0.008287293000000001,-0.017955801,-0.27887,-0.02635,0.050289999999999994,-0.07152,0.050289999999999994,,,,,0,0,0,0,0,0,0,0,0,0.0
23,2013-02-04,29000,29060,28339,28740,257238,20130204,-80.0,-0.00278,0.006245663,0.00832755,-0.016689798999999998,0.11105999999999999,-0.02905,0.04738,-0.0741,0.04738,,,,,0,0,0,0,0,0,0,0,0,0.0
