,Date,Open,High,Low,Close,Volume,index,Change,change_ratio,Open_R,High_R,Low_R,Vol_R,max_10_R,min_10_R,max_20_R,min_20_R,max_55_R,min_55_R,max_60_R,min_60_R,event,order,position,buy_type,buy_price,open_profit,close_profit,winnloss,cum_profit,day20_profit,kospi close,kospi change_r
598,2013-05-30,30360,30980,30239,30880,455560,20130530,640.0,0.021159999999999998,0.003968253968253968,0.02447089947089947,-3.306878306878307e-05,0.54317,0.0,0.04043,0.0,0.04607,0.0,0.06851,-0.01026,0.06851,1,1,1,S2,30880,0,0,1,2780,0.0,2000.0999755859373,-0.00055
603,2013-06-07,29500,29700,28479,28540,1085816,20130607,-1880.0,-0.0618,-0.030243261012491782,-0.023668639053254437,-0.06380670611439843,2.99472,-0.07578,0.0,-0.07578,0.0,-0.07578,0.0,-0.07578,0.0,1,-1,0,S2,0,0,-2340,0,440,-2340.0,1923.8499755859373,-0.01804
658,2013-08-26,26020,26100,25920,26000,230393,20130826,100.0,0.00386,0.004633204633204633,0.007722007722007722,0.0007722007722007722,-0.33039,0.0,0.05519,0.0,0.0682,-0.08772,0.0682,-0.15584,0.0682,1,1,1,S1,26000,0,0,0,440,0.0,1887.8599853515625,0.00946
675,2013-09-23,27300,27620,27060,27200,487258,20130923,-520.0,-0.01876,-0.015151515151515152,-0.0036075036075036075,-0.023809523809523808,0.41799,-0.04561,0.0,-0.04561,0.08367,-0.04561,0.1175,-0.04561,0.1175,1,-1,0,S1,0,0,1200,1,1640,1200.0,2009.4100341796875,0.0019100000000000002
684,2013-10-07,28740,28740,28500,28720,204565,20131007,360.0,0.01269,0.013399153737658674,0.013399153737658674,0.004936530324400564,-0.35074,0.0,0.05588,0.0,0.07164,0.0,0.17995,0.0,0.17995,1,1,1,S2,28720,0,0,1,1640,1200.0,1994.4200439453125,-0.00128
706,2013-11-07,29020,29080,28500,28740,260136,20131107,-280.0,-0.00965,0.0,0.002067539627842867,-0.01791867677463818,0.06453,-0.042,0.0,-0.042,0.0,-0.042,0.14502,-0.042,0.18077,1,-1,0,S2,0,0,20,1,1660,20.0,2004.0400390625,-0.0047799999999999995
805,2014-04-02,26999,27140,26860,27140,262001,20140402,360.0,0.01344,0.008177744585511576,0.01344286781179985,0.002987303958177745,0.18221,0.0,0.08821,0.0,0.08821,0.0,0.09701,0.0,0.09701,1,1,1,S2,27140,0,0,1,1660,0.0,1997.25,0.00265
825,2014-04-30,27600,27619,26519,26860,300946,20140430,-340.0,-0.0125,0.014705882352941176,0.015404411764705882,-0.025036764705882352,0.37932,-0.04549,0.0,-0.04549,0.0,-0.04549,0.07698,-0.04549,0.07698,1,-1,0,S2,0,0,-280,0,1380,-280.0,1961.7900390625,-0.0015199999999999999
832,2014-05-14,28180,28300,28020,28300,222075,20140514,300.0,0.010709999999999999,0.0064285714285714285,0.010714285714285714,0.0007142857142857143,-0.0829,0.0,0.05993,0.0,0.05993,0.0,0.13472,0.0,0.13472,1,1,1,S1,28300,0,0,0,1380,-280.0,2010.8299560546875,0.01407
841,2014-05-27,28340,28460,28059,28140,94968,20140527,-300.0,-0.01055,-0.0035161744022503515,0.0007032348804500703,-0.01339662447257384,0.27112,-0.03032,0.0,-0.03032,0.05393,-0.03032,0.12831,-0.03032,0.12831,1,-1,0,S1,0,0,-160,0,1220,-440.0,1997.6300048828125,-0.00633
